Payment Date,Total Payments Value,day_of_week,day_of_month,month,year,days_since_start
2024-09-11,83570.05,2,11,9,2024,133
2024-09-12,45345.34,3,12,9,2024,134
2024-09-13,39077.93,4,13,9,2024,135
2024-09-14,17509.64,5,14,9,2024,136
2024-09-15,18914.86,6,15,9,2024,137
2024-09-16,58902.490000000005,0,16,9,2024,138
2024-09-17,51190.53,1,17,9,2024,139
2024-09-18,47728.06,2,18,9,2024,140
2024-09-19,57672.72,3,19,9,2024,141
2024-09-20,74270.63,4,20,9,2024,142
2024-09-21,22419.29,5,21,9,2024,143
2024-09-22,23274.41,6,22,9,2024,144
2024-09-23,62388.1,0,23,9,2024,145
2024-09-24,46096.23,1,24,9,2024,146
2024-09-25,31201.54,2,25,9,2024,147
2024-09-26,88018.09999999999,3,26,9,2024,148
2024-09-27,86332.46,4,27,9,2024,149
2024-09-28,39472.41,5,28,9,2024,150
2024-09-29,8934.759999999998,6,29,9,2024,151
2024-09-30,56019.82,0,30,9,2024,152
2024-10-01,61451.33,1,1,10,2024,153
2024-10-02,36978.15,2,2,10,2024,154
2024-10-03,41307.75,3,3,10,2024,155
2024-10-04,53742.44,4,4,10,2024,156
2024-10-05,19240.43,5,5,10,2024,157
2024-10-06,20475.03,6,6,10,2024,158
2024-10-07,102766.42,0,7,10,2024,159
2024-10-08,39973.149999999994,1,8,10,2024,160
2024-10-09,50410.06,2,9,10,2024,161
2024-10-10,88606.76999999999,3,10,10,2024,162
2024-10-11,43239.43,4,11,10,2024,163
2024-10-12,28611.09,5,12,10,2024,164
2024-10-13,21968.21,6,13,10,2024,165
2024-10-14,41733.37,0,14,10,2024,166
2024-10-15,58034.29,1,15,10,2024,167
2024-10-16,43561.37,2,16,10,2024,168
2024-10-17,82193.82,3,17,10,2024,169
2024-10-18,35325.3,4,18,10,2024,170
2024-10-19,14530.23,5,19,10,2024,171
2024-10-20,22399.41,6,20,10,2024,172
2024-10-21,105836.7,0,21,10,2024,173
2024-10-22,40514.66,1,22,10,2024,174
2024-10-23,32383.29,2,23,10,2024,175
2024-10-24,46091.24,3,24,10,2024,176
2024-10-25,51746.53999999999,4,25,10,2024,177
2024-10-26,20255.79,5,26,10,2024,178
2024-10-27,32076.710000000003,6,27,10,2024,179
2024-10-28,84511.51000000001,0,28,10,2024,180
2024-10-29,20496.55,1,29,10,2024,181
2024-10-30,18449.92,2,30,10,2024,182
2024-10-31,31927.89,3,31,10,2024,183
2024-11-01,70130.04999999999,4,1,11,2024,184
2024-11-02,23297.22,5,2,11,2024,185
2024-11-03,23820.96,6,3,11,2024,186
2024-11-04,59288.99,0,4,11,2024,187
2024-11-05,60363.74,1,5,11,2024,188
2024-11-06,48349.2,2,6,11,2024,189
2024-11-07,62728.520000000004,3,7,11,2024,190
2024-11-08,59719.09,4,8,11,2024,191
2024-11-09,23178.210000000003,5,9,11,2024,192
2024-11-10,20244.989999999998,6,10,11,2024,193
2024-11-11,34099.61,0,11,11,2024,194
2024-11-12,85662.56,1,12,11,2024,195
2024-11-13,44640.009999999995,2,13,11,2024,196
2024-11-14,46325.119999999995,3,14,11,2024,197
2024-11-15,60308.7,4,15,11,2024,198
2024-11-16,28144.600000000002,5,16,11,2024,199
2024-11-17,25634.7,6,17,11,2024,200
2024-11-18,74258.18,0,18,11,2024,201
2024-11-19,41733.58,1,19,11,2024,202
2024-11-20,37478.880000000005,2,20,11,2024,203
2024-11-21,88222.55,3,21,11,2024,204
2024-11-22,49034.0,4,22,11,2024,205
2024-11-23,19638.04,5,23,11,2024,206
2024-11-24,21276.5,6,24,11,2024,207
2024-11-25,80796.7,0,25,11,2024,208
2024-11-26,43116.65,1,26,11,2024,209
2024-11-27,42694.78,2,27,11,2024,210
2024-11-28,43895.729999999996,3,28,11,2024,211
2024-11-29,13336.03,4,29,11,2024,212
2024-11-30,9294.08,5,30,11,2024,213
2024-12-01,63306.8,6,1,12,2024,214
2024-12-02,87679.83,0,2,12,2024,215
2024-12-03,46044.14,1,3,12,2024,216
2024-12-04,49443.07,2,4,12,2024,217
2024-12-05,45131.38,3,5,12,2024,218
2024-12-06,56994.78,4,6,12,2024,219
2024-12-07,22239.46,5,7,12,2024,220
2024-12-08,28584.809999999998,6,8,12,2024,221
2024-12-09,90498.46,0,9,12,2024,222
2024-12-10,68978.5,1,10,12,2024,223
2024-12-11,69209.44,2,11,12,2024,224
2024-12-12,52764.29,3,12,12,2024,225
2024-12-13,42740.95,4,13,12,2024,226
2024-12-14,23554.05,5,14,12,2024,227
2024-12-15,29674.86,6,15,12,2024,228
2024-12-16,90500.25,0,16,12,2024,229
2024-12-17,50027.12,1,17,12,2024,230
2024-12-18,37850.76,2,18,12,2024,231
2024-12-19,56856.89,3,19,12,2024,232
2024-12-20,40722.56,4,20,12,2024,233
