Payment Date,Total Payments Value
2025-01-09,67854.0
2025-01-10,52240.65
2025-01-11,21289.65
2025-01-12,28566.54
2025-01-13,73629.95000000001
2025-01-14,76953.61
2025-01-15,61060.369999999995
2025-01-16,63809.44
2025-01-17,64358.29
2025-01-18,20509.260000000002
2025-01-19,20319.87
2025-01-20,39825.68
2025-01-21,48845.29
2025-01-22,52451.92
2025-01-23,58003.17
2025-01-24,40149.55
2025-01-25,21783.93
2025-01-26,21817.379999999997
2025-01-27,157081.68
2025-01-28,55793.689999999995
2025-01-29,27023.59
2025-01-30,42525.5
2025-01-31,47308.87
2025-02-01,62041.81
2025-02-02,27210.38
2025-02-03,75463.62
2025-02-04,72585.7
2025-02-05,36604.05
2025-02-06,34918.97
2025-02-07,80855.42
2025-02-08,30165.5
2025-02-09,23916.04
2025-02-10,81188.17
2025-02-11,37434.479999999996
2025-02-12,53537.979999999996
2025-02-13,56920.17
2025-02-14,46830.01
2025-02-15,28997.120000000003
2025-02-16,31094.32
2025-02-17,41868.29
2025-02-18,68328.34
2025-02-19,31546.16
2025-02-20,48216.880000000005
2025-02-21,48351.55
2025-02-22,29822.67
2025-02-23,24928.59
2025-02-24,102313.84999999999
2025-02-25,79536.27
2025-02-26,35946.56
2025-02-27,57962.75
2025-02-28,88564.2
2025-03-01,60799.25
2025-03-02,30267.8
2025-03-03,117025.66
2025-03-04,79025.76999999999
2025-03-05,47075.58
2025-03-06,46052.92
2025-03-07,61978.27
2025-03-08,34769.71
2025-03-09,28959.969999999998
2025-03-10,94868.87
2025-03-11,50658.42999999999
2025-03-12,57826.07
2025-03-13,59981.729999999996
2025-03-14,44736.29
2025-03-15,27394.989999999998
2025-03-16,35154.61
2025-03-17,73565.88
2025-03-18,49850.9
2025-03-19,42166.0
2025-03-20,103559.81
2025-03-21,50689.08
2025-03-22,32447.45
2025-03-23,23498.78
2025-03-24,113471.2
2025-03-25,51303.68
2025-03-26,41264.16
2025-03-27,59083.91
2025-03-28,79001.01000000001
2025-03-29,13842.17
2025-03-30,9251.279999999999
2025-03-31,57797.91
2025-04-01,108707.11
2025-04-02,59717.22
2025-04-03,59118.79
2025-04-04,47746.0
2025-04-05,23529.1
2025-04-06,29369.71
2025-04-07,76589.2
2025-04-08,58213.520000000004
2025-04-09,56514.2
2025-04-10,55330.54
2025-04-11,63312.46
2025-04-12,27257.45
2025-04-13,24433.780000000002
2025-04-14,89192.87
2025-04-15,52226.61
2025-04-16,53329.41
2025-04-17,66868.1
2025-04-18,59209.22
2025-04-19,22193.5
2025-04-20,25138.95
2025-04-21,98831.45000000001
2025-04-22,55075.0
2025-04-23,32946.2
2025-04-24,51695.36
2025-04-25,89860.83
2025-04-26,22576.89
2025-04-27,40507.47
2025-04-28,147027.61000000002
2025-04-29,23810.190000000002
2025-04-30,62524.38
2025-05-01,86695.68
2025-05-02,56582.71000000001
2025-05-03,32817.880000000005
